"","year","first_quartile","median","third_quartile"
"1","1989","21","31","53"
"2","1990","22","32","55"
"3","1991","21","30","52"
"4","1992","20","29","49"
"5","1993","21","30","51"
"6","1994","21","30","52"
"7","1995","22","33","56"
"8","1996","22","34","60"
"9","1997","22","34","60"
"10","1998","23","37","66"
"11","1999","24","37","67"
"12","2000","24","39","70"
"13","2001","23","37","64"
"14","2002","23","35","60"
"15","2003","24","37","64"
"16","2004","24","38","67"
"17","2005","24","38","67"
"18","2006","24","39","69"
"19","2007","25","40","72"
"20","2008","25","41","74"
